Ptačí Mnich,50.777376,15.080193
New Zoo,50.778119,15.080887
Strossova Vila,50.772498,15.07683
Skleníky Botanická Zahrada,50.778768,15.074766
Parky Lidové Sady II,50.777661,15.070318
Maškarní,50.777465,15.079768
Labyrint,50.776796,15.071529
Květina,50.775626,15.06923
Parky Lidové Sady,50.777221,15.071725
Menza Technické univerzity v Liberci,50.772974,15.075182
Obrovské Buřty,50.770851,15.051593
Dům dětí a mládeže,50.776499,15.079817
Malé Divadlo,50.77317,15.051941
Sluneční dům,50.776526,15.068496
Old House,50.771155,15.048824
Cukrárna Sladká Tečka,50.775999,15.074044
Dusty Elephant,50.776698,15.076309
Former SS Command Center,50.772943,15.079184
Hlava Zeny,50.767319,15.055518
Horolezecka stena Jakub,50.778326,15.065043
Kasarny Liberec,50.776288,15.065837
Krásná Tul,50.773472,15.075323
Lipa v UL. Riegrova,50.77603,15.078099
Old Watchtower,50.772598,15.077954
Pamatník bojovníku a obětem,50.775763,15.066047
Parky Lidové Sady II,50.776637,15.074102
Playground Broken Ship,50.778154,15.06665
Rybářská Bašta,50.776461,15.075135
Klasy,50.781526,15.061844
Staré Ruské Kolo,50.778638,15.082225
Meteorologicka budka,50.7778,15.081421
Hřiště U Cvicaku,50.786528,15.056641
Lesni Divadlo,50.780648,15.082615
Reliéf Nad Okny,50.77354,15.062379
Dve Panny,50.772163,15.064224
Jezdec Na Lvu,50.771555,15.063115
Dělníci - Plastika,50.768967,15.056931
Liberec - Technicka Pamatka Lokomotiva 1882,50.759331,15.046953
Zdobene Pruceli,50.77416,15.044541
Hospoda U Namornika,50.774067,15.044067
Dětský Koutek Bez Dozoru,50.776309,15.040109
Korouhvička,50.774978,15.041905
Panenka Marie - Liberec,50.780809,15.048571
Liberec Infoboard,50.77972,15.047461
Graffiti Slovan,50.778867,15.049804
Graffiti Robot s kytkou,50.780066,15.046828
Graffiti Kotel,50.776802,15.05057
Restaurace Kamenný dům,50.779302,15.054149
Rudé střapce,50.77871,15.054176
Jedličkův Ustav,50.776855,15.055826
Dva Andělé,50.776069,15.055867
U dvou čápů,50.775361,15.05459
Hřbitov padlých soch,50.775962,15.061549
Žena s holubicí,50.774677,15.060184
Židovský Hřbitov,50.78027,15.063359
Okrasný reliéf,50.779791,15.062971
Ptačí Zastavka,50.786274,15.073198
Ježíš Na Kříži,50.787074,15.074185
Auticka,50.789795,15.067351
Vezicka,50.789637,15.067894
Sukovo Náměstí,50.776393,15.071352
Vysmátec,50.779516,15.079022
Snake face,50.778546,15.077997
Zoo - Flamingo Bay,50.779339,15.078364
Levhart,50.778621,15.078875
Map Of Zoo,50.778007,15.078359
Kašpárek,50.777972,15.076813
Protáhlý obličej,50.777985,15.076049
Moai,50.777286,15.075095
Rada Starsich,50.779762,15.082706
Liberec - Smernik,50.779674,15.084283
Dvě Opice,50.778434,15.082348
Horolezecká Věž,50.775861,15.080323
Labutě,50.777021,15.076892
Liberecký Tenisový Klub,50.775228,15.075913
Solná Jeskyně,50.772808,15.080372
Umělecká Kovařina,50.774008,15.084426
Pták Nad Dveřmi,50.774943,15.069179
Úřad Regionální Rady,50.774351,15.069067
Mušlí Žena,50.773134,15.068517
Domovní Znamení V Klostermannově II.,50.772568,15.066441
Vila Karla Herziga,50.77108,15.067735
Nemocnice - Skulptura Patologie,50.770469,15.066924
Tomovy parky,50.770351,15.065368
Dítě Porodnice,50.770861,15.065619
Borovice Vítězná,50.775356,15.066796
Strom Svobody 1999,50.77546,15.065483
